from/to,Bielefeld,Gütersloh,Herford,Lippe,Paderborn,Minden-Lübbecke,Osnabrück,Region Hannover,Düsseldorf (S),Münster (S),Warendorf,Soest,Dortmund (S),Essen (S),Ennepe-Ruhr-Kreis,Herne (S),Gelsenkirchen (S),Recklinghausen,Duisburg (S),Mettmann,Wuppertal (S),Bochum (S),Unna,Hagen(S),Bonn(S),Rhein-Sieg-Kreis,Köln (S),Rhein-Erft-Kreis,Ahrweiler,Euskirchen,Frankfurt am Main (S),Rheinisch-Bergischer Kreis,Koblenz (S),Neuwied,Staedteregion Aachen,Mayen-Koblenz,Borken,Coesfeld,Steinfurt,Wesel,Kleve,Grafschaft Bentheim,Emsland,Bottrop (S),Oberhausen (S),Muehlheim an der Ruhr (S),Hamm (S),Maerkischer Kreis,Krefeld (S),Rhein-Kreis Neuss,Viersen,Dueren,Moenchengladbach (S),Remscheid (S),Vulkaneifel,Eifelkreis Bitburg-Prüm,Osnabrueck (S),Hochsauerlandkreis,Schaumburg,Waldeck-Frankenberg,Olpe,Siegen-Wittgenstein,Hoexter,Holzminden,Kassel,Kassel (S),Hameln-Pyrmont,Northeim,Leverkusen (S),Oberbergischer Kreis,Solingen (S),Diepholz,Nienburg,Altenkirchen,Lahn-Dill-Kreis,Marburg-Biedenkopf,Westerwaldkreis
Ennepe-Ruhr-Kreis,0,0,0,0,0,0,0,0,2130,0,0,0,8332,4804,0,1057,0,0,0,2591,9106,9720,1328,8659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2335,0,0,0,0,0,1113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,676,393,0,0,0,0,0,0
Herne (S),0,0,0,0,0,0,0,0,834,0,0,0,3170,3227,1271,0,2943,4719,796,0,0,10109,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gelsenkirchen (S),0,0,0,0,0,0,0,0,1942,0,0,0,2140,11280,0,2848,0,8981,1872,952,0,5222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,2185,1370,905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Recklinghausen,0,0,0,0,0,0,0,0,0,2647,0,307,13834,12872,2237,8658,14724,0,3098,3098,0,9279,3674,777,0,0,0,0,0,0,0,0,0,0,0,0,3305,3890,349,2549,0,0,0,4961,0,1203,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duisburg (S),0,0,0,0,0,0,0,0,17984,0,0,0,0,7411,0,475,1071,0,0,4679,0,1058,0,0,0,0,2311,0,0,0,0,0,0,0,0,0,353,0,0,13292,1280,0,0,936,6893,5275,0,0,6330,2021,1590,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mettmann,0,0,0,0,0,0,0,0,41484,0,0,0,0,7028,1204,0,0,0,2158,0,7732,0,0,0,0,0,6662,0,0,0,0,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,1422,0,0,1198,3878,528,0,0,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3795,0,4026,0,0,0,0,0,0
Wuppertal (S),0,0,0,0,0,0,0,0,7742,0,0,0,879,1960,4869,0,0,0,0,9937,0,861,0,801,0,0,2785,0,0,0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1008,0,0,0,5446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,569,811,4114,0,0,0,0,0,0
Bochum (S),0,0,0,0,0,0,0,0,3026,0,0,0,9558,11252,7449,5067,4045,3566,1875,1660,1328,0,1049,1037,0,0,0,0,0,0,0,0,0,0,0,0,0,159,0,0,0,0,0,424,740,1015,0,912,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unna,0,0,0,0,0,0,0,0,0,2443,883,2432,29326,0,1752,787,766,2809,0,0,0,1929,0,2938,0,0,0,0,0,0,0,0,0,0,0,0,0,3423,238,0,0,0,0,0,0,0,5815,5186,0,0,0,0,0,0,0,0,0,845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hagen(S),0,0,0,0,0,0,0,0,0,0,0,0,3917,913,9301,0,0,0,0,346,1344,913,1533,0,0,0,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonn(S),0,0,0,0,0,0,0,0,1657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.968,12.028,2.385,1.124,814,694,400,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhein-Sieg-Kreis,0,0,0,0,0,0,0,0,2139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47939,0,35633,6722,1745,2593,1246,3285,0,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,387,0,0,0,0,0,0,0,0,380,0,0,0,0,0,0,0,1162,2944,0,0,0,0,0,0,0
Köln (S),0,0,0,0,0,0,0,0,12291,0,0,0,0,0,0,0,0,0,0,4482,1348,0,0,0,12501,9109,0,20515,0,1395,0,9044,0,0,2288,0,0,0,0,0,0,0,0,0,0,0,0,0,683,4854,0,1738,819,721,0,0,0,0,0,0,316,432,0,0,0,0,0,0,8830,1815,768,0,0,0,0,0,0
Rhein-Erft-Kreis,0,0,0,0,0,0,0,0,3651,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,0,4971,3628,62364,0,0,2492,0,1101,0,0,1660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5085,0,3427,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1736,0,0,0,0,0,0,0,0
Ahrweiler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7487,3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Euskirchen,0,0,0,0,0,0,0,0,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3388,3955,8142,5775,0,0,0,0,0,0,998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1779,0,0,705,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frankfurt am Main (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rheinisch-Bergischer Kreis,0,0,0,0,0,0,0,0,2833,0,0,0,0,0,0,0,0,0,0,3405,0,0,0,0,1545,2605,28627,1572,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3304,0,0,0,0,0,0,282,0,0,0,0,0,0,0,8560,3853,1591,0,0,0,0,0,0
Koblenz (S),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuwied,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Staedteregion Aachen,0,0,0,0,0,0,0,0,2154,0,0,0,0,0,0,0,0,0,0,541,0,0,0,0,674,0,4961,1950,0,879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022,0,10046,973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mayen-Koblenz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borken,0,0,0,0,0,0,0,0,917,2876,0,0,0,1252,0,0,0,3294,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5508,3801,4661,1412,923,0,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coesfeld,0,0,0,0,0,0,0,0,0,18890,1020,0,1885,753,0,0,539,4024,0,0,0,0,2944,0,0,0,0,0,0,0,0,0,0,0,0,0,5067,0,2119,0,0,0,0,0,0,0,663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steinfurt,0,556,195,0,0,0,5693,0,621,22183,1645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3891,1952,0,0,0,1730,5003,0,0,0,0,0,0,0,0,0,0,0,0,0,9859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wesel,0,0,0,0,0,0,0,0,6877,0,0,0,0,5321,0,496,1202,2272,24095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4705,0,0,0,7849,0,0,1049,5077,2487,0,0,5730,1378,1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kleve,0,0,0,0,0,0,0,0,2682,0,0,0,0,994,0,0,0,0,2896,0,0,0,0,0,0,0,657,0,0,0,0,0,0,0,0,0,2281,0,0,9656,0,0,0,0,0,0,0,0,3285,754,3538,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grafschaft Bentheim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,0,2242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emsland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326,0,4857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bottrop (S),0,0,0,0,0,0,0,0,1154,0,0,0,656,6954,0,495,2640,3913,1850,0,0,737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,973,0,0,0,0,3130,1011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oberhausen (S),0,0,0,0,0,0,0,0,4349,0,0,0,0,7773,0,0,1277,1377,9341,1621,0,843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3334,279,0,0,2387,0,5980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muehlheim an der Ruhr (S),0,0,0,0,0,0,0,0,5116,0,0,0,673,10424,0,0,0,0,5405,2393,0,849,0,0,0,0,633,0,0,0,0,0,0,0,0,0,0,0,0,1095,0,0,0,0,3392,0,0,0,618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamm (S),513,493,0,0,0,0,0,0,450,2300,3535,2827,3090,0,0,0,0,0,0,0,0,0,7062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maerkischer Kreis,0,0,0,0,0,0,0,0,0,0,0,1259,3950,0,1780,0,0,0,0,0,0,0,4568,7253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,2227,0,0,3010,650,0,0,0,0,0,0,0,2451,0,0,0,0,0,0,0
Krefeld (S),0,0,0,0,0,0,0,0,8905,0,0,0,0,1045,0,0,0,0,3183,1531,0,0,0,0,0,0,1292,0,0,0,0,0,0,0,0,0,0,0,0,2037,831,0,0,0,0,0,0,0,0,4012,7774,0,2279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhein-Kreis Neuss,0,0,0,0,0,0,0,0,39611,0,0,0,0,1467,0,0,0,0,1333,5331,0,0,0,0,0,0,11787,3420,0,0,0,0,0,0,751,0,0,0,0,0,273,0,0,0,0,0,0,0,3924,0,3332,633,8195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1514,0,393,0,0,0,0,0,0
Viersen,0,0,0,0,0,0,0,0,9939,0,0,0,0,0,0,0,0,0,1622,1525,0,0,0,0,0,0,1437,0,0,0,0,0,0,0,541,0,0,0,0,1396,1951,0,0,0,0,0,0,0,12234,5473,0,300,11865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dueren,0,0,0,0,0,0,0,0,1144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,0,6712,6606,0,2424,0,0,0,0,15371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126,448,0,816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moenchengladbach (S),0,0,0,0,0,0,0,0,8051,0,0,0,0,0,0,0,0,0,554,1192,0,0,0,0,0,0,1678,705,0,0,0,0,0,0,887,0,0,0,0,0,368,0,0,0,0,0,0,0,2595,8241,7676,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Remscheid (S),0,0,0,0,0,0,0,0,933,0,0,0,0,257,633,0,0,0,0,1196,4893,0,0,0,0,0,912,0,0,0,0,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,3036,1774,0,0,0,0,0,0
Vulkaneifel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eifelkreis Bitburg-Prüm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
